animal_ID,exp. ID,date,water start,water end,ad lib start,ad lib end,,,,,,,,,,
AA02,Athena,16/05/2019,11:48,12:48,,,,,,,,,,,,
DO01,Dammy,16/05/2019,11:48,12:48,,,,,,,,,,,,
DO02,Dammy,16/05/2019,11:48,12:48,,,,,,,,,,,,
SC01,Sharbat,16/05/2019,11:48,12:48,,,,,,,,,,,,
SC02,Sharbat,16/05/2019,11:48,12:48,,,,,,,,,,,,
VP01,Viktor,16/05/2019,11:48,12:48,,,,,,,,,,,,
VP02,Viktor,16/05/2019,11:48,12:48,,,,,,,,,,,,
AA03,Athena,16/05/2019,11:48,12:48,,,,,,,,,,,,
AA04,Athena,16/05/2019,11:48,12:48,,,,,,,,,,,,
DO03,Dammy,16/05/2019,11:48,12:48,,,,,,,,,,,,
DO04,Dammy,16/05/2019,11:48,12:48,,,,,,,,,,,,
SC03,Sharbat,16/05/2019,11:48,12:48,,,,,,,,,,,,
SC04,Sharbat,16/05/2019,14:42,15:42,,,,,,,,,,,,
VP03,Viktor,16/05/2019,14:42,15:42,,,,,,,,,,,,
VP04,Viktor,16/05/2019,14:42,15:42,,,,,,,,,,,,
AA05,Athena,16/05/2019,14:42,15:42,,,,,,,,,,,,
AA06,Athena,16/05/2019,14:42,15:42,,,,,,,,,,,,
DO05,Dammy,16/05/2019,14:42,15:42,,,,,,,,,,,,
DO06,Dammy,16/05/2019,14:42,15:42,,,,,,,,,,,,
SC05,Sharbat,16/05/2019,14:42,15:42,,,,,,,,,,,,
SC06,Sharbat,16/05/2019,14:42,15:42,,,,,,,,,,,,
VP05,Viktor,16/05/2019,14:42,15:42,,,,,,,,,,,,
VP06,Viktor,16/05/2019,14:42,15:42,,,,,,,,,,,,
AA07,Athena,16/05/2019,14:42,15:42,,,,,,,,,,,,
AA08,Athena,16/05/2019,16:08,17:08,,,,,,,,,,,,
DO07,Dammy,16/05/2019,16:08,17:08,,,,,,,,,,,,
DO08,Dammy,16/05/2019,16:08,17:08,,,,,,,,,,,,
VP07,Viktor,16/05/2019,16:08,17:08,,,,,,,,,,,,
VP08,Viktor,16/05/2019,16:08,17:08,,,,,,,,,,,,
AA01,Athena,16/05/2019,16:08,17:08,,,,,,,,,,,,
AA02,Athena,17/05/2019,11:15,12:15,,,,,,,,,,,,
DO01,Dammy,17/05/2019,11:15,12:15,,,,,,,,,,,,
DO02,Dammy,17/05/2019,11:15,12:15,,,,,,,,,,,,
SC01,Sharbat,17/05/2019,11:15,12:15,,,,,,,,,,,,
SC02,Sharbat,17/05/2019,11:15,12:15,,,,,,,,,,,,
VP01,Viktor,17/05/2019,11:15,12:15,,,,,,,,,,,,
VP02,Viktor,17/05/2019,11:15,12:15,,,,,,,,,,,,
AA03,Athena,17/05/2019,11:15,12:15,,,,,,,,,,,,
AA04,Athena,17/05/2019,11:15,12:15,,,,,,,,,,,,
DO03,Dammy,17/05/2019,11:15,12:15,,,,,,,,,,,,
DO04,Dammy,17/05/2019,11:15,12:15,,,,,,,,,,,,
SC03,Sharbat,17/05/2019,11:15,12:15,,,,,,,,,,,,
SC04,Sharbat,17/05/2019,14:15,15:15,,,,,,,,,,,,
VP03,Viktor,17/05/2019,14:15,15:15,,,,,,,,,,,,
VP04,Viktor,17/05/2019,14:15,15:15,,,,,,,,,,,,
AA05,Athena,17/05/2019,14:15,15:15,,,,,,,,,,,,
AA06,Athena,17/05/2019,14:15,15:15,,,,,,,,,,,,
DO05,Dammy,17/05/2019,14:15,15:15,,,,,,,,,,,,
DO06,Dammy,17/05/2019,14:15,15:15,,,,,,,,,,,,
SC05,Sharbat,17/05/2019,14:15,15:15,,,,,,,,,,,,
SC06,Sharbat,17/05/2019,14:15,15:15,,,,,,,,,,,,
VP05,Viktor,17/05/2019,14:15,15:15,,,,,,,,,,,,
VP06,Viktor,17/05/2019,14:15,15:15,,,,,,,,,,,,
AA07,Athena,17/05/2019,14:15,15:15,,,,,,,,,,,,
AA08,Athena,17/05/2019,15:40,16:40,,,,,,,,,,,,
DO07,Dammy,17/05/2019,15:40,16:40,,,,,,,,,,,,
DO08,Dammy,17/05/2019,15:40,16:40,,,,,,,,,,,,
VP07,Viktor,17/05/2019,15:40,16:40,,,,,,,,,,,,
VP08,Viktor,17/05/2019,15:40,16:40,,,,,,,,,,,,
AA01,Athena,17/05/2019,15:40,16:40,,,,,,,,,,,,
AA02,Athena,18/05/2019,18:00,19:00,,,,,,,,,,,,
DO01,Dammy,18/05/2019,18:00,19:00,,,,,,,,,,,,
DO02,Dammy,18/05/2019,18:00,19:00,,,,,,,,,,,,
SC01,Sharbat,18/05/2019,18:00,19:00,,,,,,,,,,,,
SC02,Sharbat,18/05/2019,18:00,19:00,,,,,,,,,,,,
VP01,Viktor,18/05/2019,18:00,19:00,,,,,,,,,,,,
VP02,Viktor,18/05/2019,18:00,19:00,,,,,,,,,,,,
AA03,Athena,18/05/2019,18:00,19:00,,,,,,,,,,,,
